"Timestamp","What is your country of origin?","In which country do you currently reside ?","How old are you ?","Sex","What is your blood group ?","Are you in a relationship ?","What is the blood group of your partner ?","I like helping people.","I enjoy being part of a group.","I choose my words with care.","I take charge.","I get nervous talking to people I don't know. ","I like order.","I get upset easily.","I am modest about what I have achieved.","I seek adventure.","I enjoy being the center of attention. ","I prefer variety to routine.","I feel others' emotions.","I find it hard to trust people. ","I avoid arguing even when I disagree. ","I avoid being alone.","I am more of a detailed-oriented than a big picture person. ","I tend to focus on present realities rather than future possibilities. ","I would rather go with the flow than have a set schedule.","I often talk about my own feelings and emotions. ","After an exhausting week a fun party is just what I need.","I rarely feel insecure. "
"2020/01/25 9:00:24 AM PST","Nigeria","South Africa","18-45","Male","A+","Yes","AB+","Neutral","Disagree","Agree","Neutral","Disagree","Agree","Disagree","Strongly agree","Disagree","Strongly disagree","Agree","Agree","Disagree","Strongly agree","Strongly disagree","Strongly agree","Disagree","Agree","Disagree","Disagree","Strongly disagree"
"2020/01/25 9:26:43 AM PST","Ghana","Ghana","28","Female","O+","No","I don't know","Strongly Agree","Agree","Strongly Agree","Agree","Disagree","Strongly Agree","Agree","Strongly agree","Strongly Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Neutral","Agree"
"2020/01/25 9:29:52 AM PST","India","UAE","30","Female","AB+","Yes","B+","Strongly Agree","Strongly Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Disagree","Disagree"
"2020/01/25 9:31:55 AM PST","KENYA","Mauritius ","32","Male","A+","Yes","O+","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Disagree","Strongly agree","Neutral","Neutral","Strongly agree","Strongly agree","Disagree","Disagree","Neutral","Strongly agree","Neutral","Disagree","Agree","Disagree","Strongly agree"
"2020/01/25 9:53:16 AM PST","Nigeria","USA","32","Male","O+","Yes","I don't know","Strongly disagree","Neutral","Strongly Agree","Agree","Disagree","Strongly Agree","Neutral","Agree","Disagree","Disagree","Disagree","Disagree","Strongly agree","Disagree","Strongly disagree","Strongly agree","Neutral","Disagree","Strongly disagree","Strongly disagree","Strongly agree"
"2020/01/25 10:00:23 AM PST","India","Canada","32","Male","A+","Yes","A+","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Neutral","Neutral","Agree","Agree","Agree","Agree","Strongly agree","Disagree","Agree","Neutral","Agree","Agree","Strongly agree","Agree","Agree","Disagree"
"2020/01/25 10:08:03 AM PST","Ivory coast","Canada","22","Male","A+","Yes","I don't know","Agree","Agree","Neutral","Strongly Agree","Neutral","Disagree","Disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Disagree","Agree","Agree","Disagree","Disagree","Agree","Neutral","Agree"
"2020/01/25 10:12:15 AM PST","India","Canada","27","Female","B+","Yes","I don't know","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Neutral","Agree","Neutral","Agree","Neutral","Agree","Disagree","Disagree","Neutral","Neutral","Neutral","Disagree","Disagree"
"2020/01/25 10:14:52 AM PST","Kenya","Kenya","28","Female","B+","No","N/A","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral"
"2020/01/25 10:20:19 AM PST","Cote D’ivoire ","United States of America","23","Female","O+","No","I don't know","Strongly Agree","Agree","Agree","Disagree","Agree","Neutral","Disagree","Agree","Disagree","Strongly disagree","Agree","Agree","Agree","Agree","Disagree","Disagree","Agree","Disagree","Neutral","Neutral","Disagree"
"2020/01/25 10:45:45 AM PST","Canada","Canada","32","Male","O+","Yes","I don't know","Strongly Agree","Strongly Agree","Disagree","Agree","Agree","Strongly Agree","Disagree","Agree","Strongly Agree","Disagree","Disagree","Neutral","Neutral","Neutral","Disagree","Disagree","Neutral","Neutral","Neutral","Strongly disagree","Disagree"
"2020/01/25 10:52:27 AM PST","Kenya","Kenya","27","Female","AB-","Yes","B+","Strongly Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Disagree"
"2020/01/25 10:52:59 AM PST","Nigeri","England","29","Female","AB+","No","I don't know","Strongly Agree","Agree","Agree","Agree","Disagree","Strongly Agree","Neutral","Neutral","Neutral","Disagree","Neutral","Agree","Agree","Disagree","Disagree","Neutral","Neutral","Disagree","Neutral","Neutral","Strongly disagree"
"2020/01/25 11:30:47 AM PST","Ghana","South Africa","28","Male","AB-","No","I don't know","Neutral","Strongly Agree","Strongly disagree","Neutral","Neutral","Neutral","Disagree","Neutral","Strongly Agree","Disagree","Agree","Neutral","Agree","Agree","Neutral","Neutral","Agree","Agree","Agree","Agree","Neutral"
"2020/01/25 11:32:35 AM PST","Ethiopia","Ethiopia ","31","Female","B+","Yes","I don't know","Strongly Agree","Agree","Strongly Agree","Disagree","Agree","Neutral","Neutral","Strongly agree","Disagree","Neutral","Agree","Agree","Disagree","Strongly agree","Neutral","Agree","Neutral","Neutral","Agree","Agree","Neutral"
"2020/01/25 11:34:03 AM PST","India","United Kingdom","28","Female","A+","No","N/A","Agree","Neutral","Neutral","Agree","Strongly agree","Strongly Agree","Strongly Agree","Strongly agree","Neutral","Strongly disagree","Strongly disagree","Neutral","Neutral","Agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Agree","Strongly disagree","Disagree"
